employee_id,as_of,readiness_score,decision,label
73,2014-12-31,2010.869,HOLD,0
74,2014-12-31,2713.535,HOLD,0
75,2014-12-31,4645.395,PROMOTE,1
76,2014-12-31,2284.716,HOLD,0
77,2014-12-31,1609.877,HOLD,0
78,2014-12-31,3438.298,HOLD,0
79,2014-12-31,4138.598,HOLD,0
80,2014-12-31,4293.938,HOLD,0
81,2014-12-31,993.752,HOLD,0
82,2014-12-31,5097.925,PROMOTE,1
83,2014-12-31,3057.153,HOLD,0
84,2014-12-31,2604.192,HOLD,0
85,2014-12-31,2262.289,HOLD,0
86,2014-12-31,5841.093,PROMOTE,1
87,2014-12-31,881.285,HOLD,0
88,2014-12-31,1874.509,HOLD,0
89,2014-12-31,2629.786,HOLD,0
90,2014-12-31,4116.257,HOLD,0
91,2014-12-31,2240.85,HOLD,0
92,2014-12-31,1969.851,HOLD,0
93,2014-12-31,4127.891,HOLD,0
94,2014-12-31,3536.669,HOLD,0
95,2014-12-31,3624.168,HOLD,0
96,2014-12-31,5146.111,PROMOTE,1
97,2014-12-31,3526.811,HOLD,0
98,2014-12-31,1319.79,HOLD,0
99,2014-12-31,742.915,HOLD,0
100,2014-12-31,3921.711,HOLD,0
101,2014-12-31,2005.266,HOLD,0
102,2014-12-31,1685.248,HOLD,0
103,2014-12-31,1972.591,HOLD,0
104,2014-12-31,3080.6,HOLD,0
105,2014-12-31,2221.64,HOLD,0
106,2014-12-31,2682.943,HOLD,0
107,2014-12-31,1218.191,HOLD,0
108,2014-12-31,4367.822,PROMOTE,1
109,2014-12-31,1496.426,HOLD,0
110,2014-12-31,2200.625,HOLD,0
111,2014-12-31,4304.824,HOLD,0
112,2014-12-31,2970.987,HOLD,0
113,2014-12-31,1414.936,HOLD,0
114,2014-12-31,5447.305,PROMOTE,1
115,2014-12-31,4092.736,HOLD,0
116,2014-12-31,3825.753,HOLD,0
117,2014-12-31,2483.268,HOLD,0
118,2014-12-31,4289.154,HOLD,0
119,2014-12-31,5074.121,PROMOTE,1
120,2014-12-31,4959.204,PROMOTE,1
121,2014-12-31,773.26,HOLD,0
122,2014-12-31,3994.896,HOLD,0
123,2014-12-31,1821.561,HOLD,0
124,2014-12-31,1532.01,HOLD,0
125,2014-12-31,3889.061,HOLD,0
126,2014-12-31,1981.922,HOLD,0
127,2014-12-31,4343.775,PROMOTE,1
128,2014-12-31,5150.714,PROMOTE,1
129,2014-12-31,4719.702,PROMOTE,1
130,2014-12-31,4304.5,HOLD,0
131,2014-12-31,2312.74,HOLD,0
132,2014-12-31,4763.379,PROMOTE,1
133,2014-12-31,1349.689,HOLD,0
134,2014-12-31,2975.658,HOLD,0
135,2014-12-31,1715.009,HOLD,0
136,2014-12-31,2996.215,HOLD,0
137,2014-12-31,2728.615,HOLD,0
138,2014-12-31,1975.272,HOLD,0
139,2014-12-31,3110.475,HOLD,0
140,2014-12-31,1892.834,HOLD,0
141,2014-12-31,4200.776,HOLD,0
142,2014-12-31,4234.548,HOLD,0
143,2014-12-31,2571.603,HOLD,0
144,2014-12-31,3032.67,HOLD,0
145,2014-12-31,4392.758,PROMOTE,1
146,2014-12-31,2862.687,HOLD,0
147,2014-12-31,4160.517,HOLD,0
148,2014-12-31,4680.915,PROMOTE,1
149,2014-12-31,2917.033,HOLD,0
150,2014-12-31,3411.144,HOLD,0
151,2014-12-31,2315.42,HOLD,0
152,2014-12-31,613.444,HOLD,0
153,2014-12-31,751.833,HOLD,0
154,2014-12-31,4823.718,PROMOTE,1
155,2014-12-31,841.642,HOLD,0
156,2014-12-31,4858.474,PROMOTE,1
157,2014-12-31,2994.45,HOLD,0
158,2014-12-31,3212.162,HOLD,0
159,2014-12-31,3071.86,HOLD,0
160,2014-12-31,1699.559,HOLD,0
161,2014-12-31,3540.6,HOLD,0
162,2014-12-31,3032.505,HOLD,0
163,2014-12-31,1605.749,HOLD,0
164,2014-12-31,1543.393,HOLD,0
165,2014-12-31,2751.081,HOLD,0
166,2014-12-31,3526.264,HOLD,0
167,2014-12-31,2039.725,HOLD,0
168,2014-12-31,3446.468,HOLD,0
169,2014-12-31,1254.023,HOLD,0
170,2014-12-31,4941.872,PROMOTE,1
171,2014-12-31,4482.402,PROMOTE,1
172,2014-12-31,2612.494,HOLD,0
173,2014-12-31,3701.773,HOLD,0
174,2014-12-31,4541.372,PROMOTE,1
175,2014-12-31,2603.226,HOLD,0
176,2014-12-31,3028.555,HOLD,0
177,2014-12-31,2788.018,HOLD,0
178,2014-12-31,3545.688,HOLD,0
179,2014-12-31,1965.963,HOLD,0
180,2014-12-31,3986.233,HOLD,0
181,2014-12-31,2382.861,HOLD,0
182,2014-12-31,4636.317,PROMOTE,1
183,2014-12-31,2818.999,HOLD,0
184,2014-12-31,1906.116,HOLD,0
185,2014-12-31,4255.046,HOLD,0
186,2014-12-31,2353.446,HOLD,0
187,2014-12-31,2068.584,HOLD,0
188,2014-12-31,5311.672,PROMOTE,1
189,2014-12-31,1899.692,HOLD,0
190,2014-12-31,3799.895,HOLD,0
191,2014-12-31,2774.093,HOLD,0
192,2014-12-31,4620.95,PROMOTE,1
193,2014-12-31,4483.212,PROMOTE,1
194,2014-12-31,4220.591,HOLD,0
195,2014-12-31,4067.9,HOLD,0
196,2014-12-31,3534.042,HOLD,0
197,2014-12-31,2486.739,HOLD,0
198,2014-12-31,5775.303,PROMOTE,1
199,2014-12-31,2046.805,HOLD,0
200,2014-12-31,5431.547,PROMOTE,1
201,2014-12-31,3110.87,HOLD,0
202,2014-12-31,4088.046,HOLD,0
203,2014-12-31,757.047,HOLD,0
204,2014-12-31,1475.806,HOLD,0
205,2014-12-31,2475.312,HOLD,0
206,2014-12-31,4126.372,HOLD,0
207,2014-12-31,5172.419,PROMOTE,1
208,2014-12-31,4794.466,PROMOTE,1
209,2014-12-31,4626.584,PROMOTE,1
210,2014-12-31,1726.254,HOLD,0
211,2014-12-31,5609.686,PROMOTE,1
212,2014-12-31,2059.067,HOLD,0
213,2014-12-31,1747.428,HOLD,0
214,2014-12-31,1777.944,HOLD,0
215,2014-12-31,1361.161,HOLD,0
216,2014-12-31,3999.206,HOLD,0
217,2014-12-31,794.645,HOLD,0
218,2014-12-31,1456.807,HOLD,0
219,2014-12-31,1239.288,HOLD,0
220,2014-12-31,2162.799,HOLD,0
221,2014-12-31,3943.885,HOLD,0
222,2014-12-31,3345.829,HOLD,0
223,2014-12-31,2092.006,HOLD,0
224,2014-12-31,1268.743,HOLD,0
225,2014-12-31,2986.122,HOLD,0
226,2014-12-31,920.202,HOLD,0
227,2014-12-31,3201.144,HOLD,0
228,2014-12-31,2966.545,HOLD,0
229,2014-12-31,1624.255,HOLD,0
230,2014-12-31,4378.817,PROMOTE,1
231,2014-12-31,756.283,HOLD,0
232,2014-12-31,3569.967,HOLD,0
233,2014-12-31,4460.477,PROMOTE,1
234,2014-12-31,2921.248,HOLD,0
235,2014-12-31,668.612,HOLD,0
236,2014-12-31,4718.029,PROMOTE,1
237,2014-12-31,5300.086,PROMOTE,1
238,2014-12-31,2779.419,HOLD,0
239,2014-12-31,4357.966,PROMOTE,1
240,2014-12-31,6669.413,PROMOTE,1
241,2014-12-31,3351.036,HOLD,0
242,2014-12-31,3126.266,HOLD,0
243,2014-12-31,3115.445,HOLD,0
244,2014-12-31,3671.803,HOLD,0
245,2014-12-31,4393.479,PROMOTE,1
246,2014-12-31,2354.406,HOLD,0
247,2014-12-31,2216.902,HOLD,0
248,2014-12-31,1404.567,HOLD,0
249,2014-12-31,3283.113,HOLD,0
250,2014-12-31,3195.063,HOLD,0
251,2014-12-31,692.223,HOLD,0
252,2014-12-31,4064.592,HOLD,0
253,2014-12-31,4033.615,HOLD,0
254,2014-12-31,3728.851,HOLD,0
255,2014-12-31,2151.322,HOLD,0
256,2014-12-31,2534.644,HOLD,0
257,2014-12-31,3677.485,HOLD,0
258,2014-12-31,2290.653,HOLD,0
259,2014-12-31,2798.084,HOLD,0
260,2014-12-31,4356.264,PROMOTE,1
261,2014-12-31,1292.367,HOLD,0
262,2014-12-31,3249.026,HOLD,0
263,2014-12-31,5645.464,PROMOTE,1
264,2014-12-31,4493.751,PROMOTE,1
265,2014-12-31,2611.486,HOLD,0
266,2014-12-31,5350.003,PROMOTE,1
267,2014-12-31,3036.757,HOLD,0
268,2014-12-31,2137.334,HOLD,0
269,2014-12-31,779.563,HOLD,0
270,2014-12-31,2076.024,HOLD,0
271,2014-12-31,2826.766,HOLD,0
272,2014-12-31,2115.979,HOLD,0
273,2014-12-31,869.011,HOLD,0
274,2014-12-31,2093.964,HOLD,0
275,2014-12-31,3072.433,HOLD,0
276,2014-12-31,4178.668,HOLD,0
277,2014-12-31,1254.051,HOLD,0
278,2014-12-31,2219.263,HOLD,0
279,2014-12-31,4574.857,PROMOTE,1
280,2014-12-31,1350.395,HOLD,0
281,2014-12-31,4056.851,HOLD,0
282,2014-12-31,1216.856,HOLD,0
283,2014-12-31,4618.719,PROMOTE,1
284,2014-12-31,3762.383,HOLD,0
285,2014-12-31,3964.963,HOLD,0
286,2014-12-31,4054.302,HOLD,0
287,2014-12-31,4752.097,PROMOTE,1
288,2014-12-31,3997.565,HOLD,0
289,2014-12-31,3877.948,HOLD,0
290,2014-12-31,1187.906,HOLD,0
291,2014-12-31,882.314,HOLD,0
292,2014-12-31,3226.484,HOLD,0
293,2014-12-31,2641.547,HOLD,0
294,2014-12-31,3350.678,HOLD,0
295,2014-12-31,2814.021,HOLD,0
296,2014-12-31,2916.083,HOLD,0
297,2014-12-31,6426.681,PROMOTE,1
298,2014-12-31,3735.424,HOLD,0
299,2014-12-31,3476.474,HOLD,0
300,2014-12-31,927.559,HOLD,0
301,2014-12-31,1731.262,HOLD,0
302,2014-12-31,3762.457,HOLD,0
303,2014-12-31,1527.757,HOLD,0
304,2014-12-31,2659.351,HOLD,0
305,2014-12-31,5524.845,PROMOTE,1
306,2014-12-31,6187.922,PROMOTE,1
307,2014-12-31,1369.722,HOLD,0
308,2014-12-31,4647.228,PROMOTE,1
309,2014-12-31,1396.317,HOLD,0
310,2014-12-31,3916.08,HOLD,0
311,2014-12-31,3773.335,HOLD,0
312,2014-12-31,5010.973,PROMOTE,1
313,2014-12-31,5990.118,PROMOTE,1
314,2014-12-31,4284.549,HOLD,0
315,2014-12-31,1962.944,HOLD,0
316,2014-12-31,5169.215,PROMOTE,1
317,2014-12-31,3601.538,HOLD,0
318,2014-12-31,1130.603,HOLD,0
319,2014-12-31,3865.256,HOLD,0
320,2014-12-31,3030.809,HOLD,0
321,2014-12-31,3908.374,HOLD,0
322,2014-12-31,1183.846,HOLD,0
323,2014-12-31,2894.475,HOLD,0
324,2014-12-31,2928.214,HOLD,0
325,2014-12-31,3623.79,HOLD,0
326,2014-12-31,2712.394,HOLD,0
327,2014-12-31,2480.359,HOLD,0
328,2014-12-31,5022.112,PROMOTE,1
329,2014-12-31,5407.969,PROMOTE,1
330,2014-12-31,5742.516,PROMOTE,1
331,2014-12-31,669.93,HOLD,0
332,2014-12-31,1569.091,HOLD,0
333,2014-12-31,3332.475,HOLD,0
334,2014-12-31,2005.6,HOLD,0
335,2014-12-31,2753.864,HOLD,0
336,2014-12-31,1791.514,HOLD,0
337,2014-12-31,1058.453,HOLD,0
338,2014-12-31,2001.27,HOLD,0
339,2014-12-31,4422.368,PROMOTE,1
340,2014-12-31,3127.218,HOLD,0
341,2014-12-31,2912.745,HOLD,0
342,2014-12-31,3699.226,HOLD,0
343,2014-12-31,4347.768,PROMOTE,1
344,2014-12-31,1032.819,HOLD,0
345,2014-12-31,2068.029,HOLD,0
346,2014-12-31,2872.042,HOLD,0
347,2014-12-31,1410.046,HOLD,0
348,2014-12-31,3496.576,HOLD,0
349,2014-12-31,751.087,HOLD,0
350,2014-12-31,1704.791,HOLD,0
351,2014-12-31,3436.537,HOLD,0
352,2014-12-31,4060.865,HOLD,0
353,2014-12-31,3532.323,HOLD,0
354,2014-12-31,3064.986,HOLD,0
355,2014-12-31,2767.128,HOLD,0
356,2014-12-31,4035.89,HOLD,0
357,2014-12-31,1195.19,HOLD,0
358,2014-12-31,5413.942,PROMOTE,1
359,2014-12-31,3561.428,HOLD,0
360,2014-12-31,910.007,HOLD,0
361,2014-12-31,2393.874,HOLD,0
362,2014-12-31,1362.972,HOLD,0
363,2014-12-31,2140.336,HOLD,0
364,2014-12-31,2182.725,HOLD,0
365,2014-12-31,3246.092,HOLD,0
366,2014-12-31,2639.137,HOLD,0
367,2014-12-31,3559.083,HOLD,0
368,2014-12-31,1775.847,HOLD,0
369,2014-12-31,5183.548,PROMOTE,1
370,2014-12-31,1011.258,HOLD,0
371,2014-12-31,4779.168,PROMOTE,1
372,2014-12-31,5572.621,PROMOTE,1
373,2014-12-31,874.885,HOLD,0
374,2014-12-31,1334.836,HOLD,0
375,2014-12-31,1019.612,HOLD,0
376,2014-12-31,1039.618,HOLD,0
377,2014-12-31,5297.433,PROMOTE,1
378,2014-12-31,6286.399,PROMOTE,1
379,2014-12-31,914.584,HOLD,0
380,2014-12-31,624.401,HOLD,0
381,2014-12-31,3183.343,HOLD,0
382,2014-12-31,3668.518,HOLD,0
383,2014-12-31,4517.693,PROMOTE,1
384,2014-12-31,2116.713,HOLD,0
385,2014-12-31,3469.492,HOLD,0
386,2014-12-31,2885.871,HOLD,0
387,2014-12-31,4473.926,PROMOTE,1
388,2014-12-31,4404.086,PROMOTE,1
389,2014-12-31,6541.736,PROMOTE,1
390,2014-12-31,4829.401,PROMOTE,1
391,2014-12-31,2784.78,HOLD,0
392,2014-12-31,4066.876,HOLD,0
393,2014-12-31,2540.639,HOLD,0
394,2014-12-31,1352.006,HOLD,0
395,2014-12-31,1741.95,HOLD,0
396,2014-12-31,2085.591,HOLD,0
397,2014-12-31,3329.563,HOLD,0
398,2014-12-31,4851.819,PROMOTE,1
399,2014-12-31,3145.11,HOLD,0
400,2014-12-31,2592.062,HOLD,0
401,2014-12-31,4859.964,PROMOTE,1
402,2014-12-31,1428.124,HOLD,0
403,2014-12-31,2370.666,HOLD,0
404,2014-12-31,2204.104,HOLD,0
405,2014-12-31,3303.131,HOLD,0
406,2014-12-31,2805.262,HOLD,0
407,2014-12-31,1895.205,HOLD,0
408,2014-12-31,1039.476,HOLD,0
409,2014-12-31,1333.87,HOLD,0
410,2014-12-31,5632.791,PROMOTE,1
411,2014-12-31,4852.833,PROMOTE,1
412,2014-12-31,5226.223,PROMOTE,1
413,2014-12-31,3104.394,HOLD,0
414,2014-12-31,2816.873,HOLD,0
415,2014-12-31,3556.401,HOLD,0
416,2014-12-31,3147.308,HOLD,0
417,2014-12-31,2427.105,HOLD,0
418,2014-12-31,3672.735,HOLD,0
419,2014-12-31,2015.007,HOLD,0
420,2014-12-31,3451.633,HOLD,0
421,2014-12-31,4918.779,PROMOTE,1
422,2014-12-31,2303.163,HOLD,0
423,2014-12-31,3660.053,HOLD,0
424,2014-12-31,4239.83,HOLD,0
425,2014-12-31,4306.369,HOLD,0
426,2014-12-31,4337.192,PROMOTE,1
427,2014-12-31,883.359,HOLD,0
428,2014-12-31,1735.506,HOLD,0
429,2014-12-31,4260.655,HOLD,0
430,2014-12-31,4193.817,HOLD,0
431,2014-12-31,3290.167,HOLD,0
432,2014-12-31,2627.087,HOLD,0
433,2014-12-31,2344.798,HOLD,0
434,2014-12-31,3861.401,HOLD,0
435,2014-12-31,2922.564,HOLD,0
436,2014-12-31,2689.202,HOLD,0
437,2014-12-31,1590.03,HOLD,0
438,2014-12-31,1935.641,HOLD,0
439,2014-12-31,1955.878,HOLD,0
440,2014-12-31,2455.546,HOLD,0
441,2014-12-31,6648.993,PROMOTE,1
442,2014-12-31,766.964,HOLD,0
443,2014-12-31,2428.416,HOLD,0
444,2014-12-31,4025.424,HOLD,0
445,2014-12-31,4012.327,HOLD,0
446,2014-12-31,4829.197,PROMOTE,1
447,2014-12-31,2206.889,HOLD,0
448,2014-12-31,4011.649,HOLD,0
449,2014-12-31,3245.341,HOLD,0
450,2014-12-31,4400.043,PROMOTE,1
451,2014-12-31,4023.148,HOLD,0
452,2014-12-31,4328.52,PROMOTE,1
453,2014-12-31,4146.889,HOLD,0
454,2014-12-31,5396.978,PROMOTE,1
455,2014-12-31,1153.182,HOLD,0
456,2014-12-31,1165.183,HOLD,0
457,2014-12-31,3235.921,HOLD,0
458,2014-12-31,1881.737,HOLD,0
459,2014-12-31,4651.571,PROMOTE,1
460,2014-12-31,2045.782,HOLD,0
461,2014-12-31,3464.771,HOLD,0
462,2014-12-31,3363.862,HOLD,0
463,2014-12-31,4111.93,HOLD,0
464,2014-12-31,1293.241,HOLD,0
465,2014-12-31,2975.365,HOLD,0
466,2014-12-31,3531.474,HOLD,0
467,2014-12-31,896.105,HOLD,0
468,2014-12-31,2495.457,HOLD,0
469,2014-12-31,769.848,HOLD,0
470,2014-12-31,1493.546,HOLD,0
471,2014-12-31,2202.453,HOLD,0
472,2014-12-31,3904.775,HOLD,0
473,2014-12-31,2417.109,HOLD,0
474,2014-12-31,3309.749,HOLD,0
475,2014-12-31,3492.959,HOLD,0
476,2014-12-31,765.25,HOLD,0
477,2014-12-31,2207.545,HOLD,0
478,2014-12-31,3893.666,HOLD,0
479,2014-12-31,2437.401,HOLD,0
480,2014-12-31,1195.749,HOLD,0
481,2014-12-31,3498.503,HOLD,0
482,2014-12-31,1816.921,HOLD,0
483,2014-12-31,1626.617,HOLD,0
484,2014-12-31,2992.959,HOLD,0
485,2014-12-31,3555.847,HOLD,0
486,2014-12-31,4885.702,PROMOTE,1
487,2014-12-31,2809.674,HOLD,0
488,2014-12-31,2928.088,HOLD,0
489,2014-12-31,1478.106,HOLD,0
490,2014-12-31,4434.86,PROMOTE,1
491,2014-12-31,5466.973,PROMOTE,1
492,2014-12-31,1771.526,HOLD,0
493,2014-12-31,1061.632,HOLD,0
494,2014-12-31,4073.14,HOLD,0
495,2014-12-31,5387.694,PROMOTE,1
496,2014-12-31,1016.841,HOLD,0
497,2014-12-31,2626.781,HOLD,0
498,2014-12-31,5631.273,PROMOTE,1
499,2014-12-31,2361.963,HOLD,0
500,2014-12-31,3775.578,HOLD,0
