employee_id,year_month,org_unit,tasks,hours,velocity,quality_mean,on_time_ratio,customer_impact
1,2010-01,Operations,310,423.9,283,0.725,0.916,1079
1,2010-02,Operations,280,363.1,428,0.81,0.897,352
1,2010-03,Operations,310,476.0,542,0.865,0.987,942
1,2010-04,Operations,300,489.9,591,0.856,0.941,558
1,2010-05,Operations,310,576.8,232,0.889,0.841,845
1,2010-06,Operations,300,325.3,340,0.9,0.938,1066
1,2010-07,Operations,310,494.0,97,0.826,0.841,522
1,2010-08,Operations,310,492.9,439,0.788,0.849,659
1,2010-09,Operations,300,439.8,229,0.849,0.958,776
1,2010-10,Operations,310,495.9,388,0.834,0.921,1051
1,2010-11,Operations,300,497.4,241,0.865,0.821,984
1,2010-12,Operations,310,588.5,472,0.796,0.941,915
1,2011-01,Operations,310,358.9,377,0.846,0.857,614
1,2011-02,Operations,280,484.3,361,0.89,0.847,559
1,2011-03,Operations,310,426.7,225,0.781,0.91,860
1,2011-04,Operations,300,555.2,529,0.881,0.942,762
1,2011-05,Operations,310,313.8,309,0.71,0.98,537
1,2011-06,Operations,300,432.7,526,0.734,0.837,245
1,2011-07,Operations,310,619.1,409,0.861,0.914,300
1,2011-08,Operations,310,619.7,349,0.802,0.923,825
1,2011-09,Operations,300,308.7,230,0.838,0.938,685
1,2011-10,Operations,310,592.3,231,0.819,0.91,854
1,2011-11,Operations,300,481.8,408,0.814,0.894,829
1,2011-12,Operations,310,558.3,140,0.741,0.783,482
1,2012-01,Operations,310,322.4,296,0.842,0.954,980
1,2012-02,Operations,290,335.0,207,0.911,0.905,414
1,2012-03,Operations,310,613.9,111,0.777,0.882,850
1,2012-04,Operations,300,565.2,122,0.854,0.848,743
1,2012-05,Operations,310,613.8,57,0.886,0.87,518
1,2012-06,Operations,300,343.5,231,0.856,0.891,708
1,2012-07,Operations,310,511.3,545,0.809,0.826,915
1,2012-08,Operations,310,457.0,513,0.853,0.893,737
1,2012-09,Operations,300,428.4,641,0.834,0.908,888
1,2012-10,Operations,310,377.5,392,0.828,0.916,444
1,2012-11,Operations,300,442.2,19,0.763,0.877,559
1,2012-12,Operations,310,510.9,512,0.772,0.917,550
1,2013-01,Operations,310,443.7,369,0.867,0.883,914
1,2013-02,Operations,280,528.2,308,0.986,0.911,909
1,2013-03,Operations,310,407.5,431,0.827,0.891,457
1,2013-04,Operations,300,384.2,202,0.87,0.954,717
1,2013-05,Operations,310,314.6,411,0.811,0.947,196
1,2013-06,Operations,300,480.3,31,0.74,0.968,844
1,2013-07,Operations,310,549.4,108,0.652,0.873,1251
1,2013-08,Operations,310,508.7,254,0.858,0.822,577
1,2013-09,Operations,300,349.8,317,0.877,0.917,790
1,2013-10,Operations,310,617.0,480,0.928,0.851,430
1,2013-11,Operations,300,526.6,301,0.914,0.878,979
1,2013-12,Operations,310,591.2,381,0.924,0.882,417
1,2014-01,Operations,310,491.8,411,0.736,0.932,517
1,2014-02,Operations,280,458.5,0,0.783,0.816,402
1,2014-03,Operations,310,423.6,313,0.815,0.892,701
1,2014-04,Operations,300,530.6,436,0.87,0.919,763
1,2014-05,Operations,310,573.6,656,0.825,0.885,464
1,2014-06,Operations,300,489.2,143,0.777,0.896,710
1,2014-07,Operations,310,597.5,222,0.884,0.937,611
1,2014-08,Operations,310,396.2,426,0.841,0.828,634
1,2014-09,Operations,300,443.3,195,0.841,0.827,950
1,2014-10,Operations,310,552.4,301,0.852,0.78,364
1,2014-11,Operations,300,465.9,169,0.873,1.0,347
1,2014-12,Operations,310,537.5,377,0.927,0.839,712
2,2005-01,Marketing,310,615.5,22,0.763,0.879,490
2,2005-02,Marketing,280,303.7,285,0.734,0.926,430
2,2005-03,Marketing,310,321.5,181,0.802,0.927,809
2,2005-04,Marketing,300,514.0,17,0.872,0.848,656
2,2005-05,Marketing,310,325.2,348,0.792,0.836,797
2,2005-06,Marketing,300,454.4,177,0.927,0.878,607
2,2005-07,Marketing,310,518.2,182,0.868,0.873,517
2,2005-08,Marketing,310,402.7,117,0.695,0.981,1252
2,2005-09,Marketing,300,356.3,0,0.821,0.886,554
2,2005-10,Marketing,310,619.6,368,0.871,0.825,793
2,2005-11,Marketing,300,599.3,295,0.82,0.893,747
2,2005-12,Marketing,310,464.0,82,0.736,0.908,523
2,2006-01,Marketing,310,315.5,252,0.94,0.845,765
2,2006-02,Marketing,280,548.6,130,0.851,0.961,487
2,2006-03,Marketing,310,382.9,276,0.786,0.883,599
2,2006-04,Marketing,300,477.2,27,0.869,0.874,0
2,2006-05,Marketing,310,358.2,321,0.797,0.834,827
2,2006-06,Marketing,300,431.5,627,0.865,0.919,559
2,2006-07,Marketing,310,367.4,375,0.915,0.874,512
2,2006-08,Marketing,310,468.9,401,0.93,0.877,514
2,2006-09,Marketing,300,312.3,233,0.897,0.787,401
2,2006-10,Marketing,310,406.9,0,0.782,0.854,570
2,2006-11,Marketing,300,509.5,233,0.778,0.897,851
2,2006-12,Marketing,310,310.5,137,0.874,0.889,780
2,2007-01,Marketing,310,461.7,387,0.778,0.899,567
2,2007-02,Marketing,280,352.9,33,0.881,0.882,331
2,2007-03,Marketing,310,380.8,453,0.703,0.825,391
2,2007-04,Marketing,300,513.5,312,0.886,0.843,331
2,2007-05,Marketing,310,312.9,288,0.873,0.891,688
2,2007-06,Marketing,300,372.5,386,0.888,0.819,60
2,2007-07,Marketing,310,574.5,463,0.779,0.807,644
2,2007-08,Marketing,310,388.8,557,0.871,0.881,398
2,2007-09,Marketing,300,408.5,225,0.779,1.0,1028
2,2007-10,Marketing,310,377.1,136,0.891,0.932,729
2,2007-11,Marketing,300,403.9,365,0.884,0.932,681
2,2007-12,Marketing,310,539.0,291,0.807,0.836,1037
2,2008-01,Marketing,310,354.6,489,0.855,0.968,622
2,2008-02,Marketing,290,291.2,102,0.864,0.903,277
2,2008-03,Marketing,310,588.2,266,0.948,0.945,622
2,2008-04,Marketing,300,315.2,276,0.828,0.846,563
2,2008-05,Marketing,310,315.6,85,0.871,0.92,176
2,2008-06,Marketing,300,483.2,419,0.904,0.951,609
2,2008-07,Marketing,310,485.8,111,0.861,0.919,939
2,2008-08,Marketing,310,313.9,258,0.765,0.884,673
2,2008-09,Marketing,300,566.9,183,0.855,0.875,449
2,2008-10,Marketing,310,365.3,216,0.855,0.914,337
2,2008-11,Marketing,300,563.5,485,0.77,0.794,153
2,2008-12,Marketing,310,552.7,283,0.833,0.961,0
2,2009-01,Marketing,310,557.4,521,0.772,0.881,433
2,2009-02,Marketing,280,554.2,206,0.926,0.992,484
2,2009-03,Marketing,310,408.9,284,0.945,0.895,652
2,2009-04,Marketing,300,580.6,746,0.891,0.865,832
2,2009-05,Marketing,310,350.6,203,0.895,0.902,689
2,2009-06,Marketing,300,373.1,320,0.865,0.803,759
2,2009-07,Marketing,310,372.6,55,0.836,0.904,448
2,2009-08,Marketing,310,324.0,70,0.816,0.871,608
2,2009-09,Marketing,300,333.2,118,0.883,0.903,145
2,2009-10,Marketing,310,589.5,277,0.827,0.895,613
2,2009-11,Marketing,300,341.3,412,0.773,0.841,337
2,2009-12,Marketing,310,501.2,471,0.814,0.775,197
2,2010-01,Marketing,310,574.1,192,0.815,0.902,542
2,2010-02,Marketing,280,393.4,157,0.788,0.924,216
2,2010-03,Marketing,310,347.4,294,0.831,0.979,465
2,2010-04,Marketing,300,353.8,236,0.763,0.903,341
2,2010-05,Marketing,310,573.9,340,0.873,0.869,864
2,2010-06,Marketing,300,348.4,485,0.872,0.968,148
2,2010-07,Marketing,310,462.1,144,0.847,0.871,578
2,2010-08,Marketing,310,349.0,252,0.865,0.888,638
2,2010-09,Marketing,300,466.3,337,0.91,0.982,674
2,2010-10,Marketing,310,594.2,100,0.835,0.947,834
2,2010-11,Marketing,300,459.6,402,0.869,0.96,669
2,2010-12,Marketing,310,455.3,331,0.664,0.919,0
2,2011-01,Marketing,310,416.1,349,0.869,0.842,443
2,2011-02,Marketing,280,339.3,184,0.975,0.9,651
2,2011-03,Marketing,310,617.9,299,0.78,0.895,611
2,2011-04,Marketing,300,345.7,231,0.795,0.946,608
2,2011-05,Marketing,310,535.1,262,0.853,0.931,372
2,2011-06,Marketing,300,585.0,435,0.815,0.829,706
2,2011-07,Marketing,310,322.5,41,0.854,0.937,712
2,2011-08,Marketing,310,403.8,61,0.86,0.885,500
2,2011-09,Marketing,300,468.5,491,0.948,0.966,573
2,2011-10,Marketing,310,510.6,397,0.847,0.907,824
2,2011-11,Marketing,300,327.5,160,0.815,0.932,600
2,2011-12,Marketing,310,411.2,382,0.818,0.938,713
2,2012-01,Marketing,310,517.0,502,0.81,0.817,360
2,2012-02,Marketing,290,485.7,268,0.824,0.883,723
2,2012-03,Marketing,310,605.4,327,0.865,0.931,97
2,2012-04,Marketing,300,592.8,0,0.842,0.9,850
2,2012-05,Marketing,310,581.3,310,0.81,0.924,489
2,2012-06,Marketing,300,396.7,417,0.807,0.94,762
2,2012-07,Marketing,310,385.7,429,0.882,0.905,430
2,2012-08,Marketing,310,540.9,195,0.873,0.852,728
2,2012-09,Marketing,300,372.1,239,0.847,1.0,269
2,2012-10,Marketing,310,437.1,302,0.865,0.906,730
2,2012-11,Marketing,300,302.3,488,0.813,0.957,445
2,2012-12,Marketing,310,550.0,112,0.867,0.972,600
2,2013-01,Marketing,310,357.7,106,0.826,0.82,393
2,2013-02,Marketing,280,299.5,436,1.0,0.871,881
2,2013-03,Marketing,310,515.7,255,0.866,0.903,647
2,2013-04,Marketing,300,465.7,60,0.747,0.933,533
2,2013-05,Marketing,310,619.8,280,0.888,0.909,457
2,2013-06,Marketing,300,395.5,259,0.935,0.925,833
2,2013-07,Marketing,310,419.5,454,0.877,0.93,748
2,2013-08,Marketing,310,409.7,387,0.759,0.86,943
2,2013-09,Marketing,300,343.2,493,0.824,0.842,542
2,2013-10,Marketing,310,330.9,291,0.908,0.882,707
2,2013-11,Marketing,300,310.5,337,0.84,0.863,543
2,2013-12,Marketing,310,576.8,237,0.946,0.895,559
2,2014-01,Marketing,310,432.3,140,0.824,0.866,962
2,2014-02,Marketing,280,490.1,432,0.844,0.902,540
2,2014-03,Marketing,310,543.0,545,0.701,0.8,485
2,2014-04,Marketing,300,546.9,373,0.868,0.881,844
2,2014-05,Marketing,310,449.1,307,0.898,0.914,480
2,2014-06,Marketing,300,357.7,286,0.84,0.974,11
2,2014-07,Marketing,310,485.6,95,0.818,0.887,246
2,2014-08,Marketing,310,325.3,145,0.987,0.99,517
2,2014-09,Marketing,300,527.4,97,0.726,0.894,360
2,2014-10,Marketing,310,471.8,30,0.794,0.907,710
2,2014-11,Marketing,300,300.3,71,0.891,0.86,751
2,2014-12,Marketing,310,586.0,65,0.821,0.918,772
3,2005-01,Operations,310,376.7,578,0.89,0.887,837
3,2005-02,Operations,280,307.8,582,0.756,0.854,920
3,2005-03,Operations,310,576.7,136,0.801,0.921,625
3,2005-04,Operations,300,379.4,228,0.787,0.856,1177
3,2005-05,Operations,310,340.9,478,0.801,0.891,474
3,2005-06,Operations,300,555.7,123,0.721,0.788,343
3,2005-07,Operations,310,323.7,334,0.907,0.921,845
3,2005-08,Operations,310,559.9,422,0.874,0.871,789
3,2005-09,Operations,300,419.3,247,0.763,0.841,650
3,2005-10,Operations,310,342.0,218,0.832,0.929,804
3,2005-11,Operations,300,429.5,521,0.77,0.984,502
3,2005-12,Operations,310,412.1,351,0.805,0.81,608
3,2006-01,Operations,310,481.9,490,0.921,0.86,725
3,2006-02,Operations,280,326.5,220,0.876,0.898,977
3,2006-03,Operations,310,544.2,495,0.836,0.94,540
3,2006-04,Operations,300,500.7,312,0.78,0.933,786
3,2006-05,Operations,310,489.5,579,0.917,0.881,743
3,2006-06,Operations,300,308.0,333,0.794,0.981,717
3,2006-07,Operations,310,311.7,526,0.7,0.799,848
3,2006-08,Operations,310,485.2,379,0.75,0.899,1147
3,2006-09,Operations,300,460.9,355,0.804,0.88,118
3,2006-10,Operations,310,494.2,472,0.735,0.867,363
3,2006-11,Operations,300,469.3,338,0.705,0.931,810
3,2006-12,Operations,310,439.5,0,0.77,0.962,0
3,2007-01,Operations,310,404.2,158,0.878,0.866,751
3,2007-02,Operations,280,473.2,565,0.818,0.919,255
3,2007-03,Operations,310,322.4,223,0.796,0.899,263
3,2007-04,Operations,300,356.5,475,0.848,0.821,600
3,2007-05,Operations,310,560.8,49,0.766,0.944,717
3,2007-06,Operations,300,490.3,608,0.858,0.933,1280
3,2007-07,Operations,310,618.0,217,0.856,0.922,520
3,2007-08,Operations,310,589.9,699,0.85,0.863,878
3,2007-09,Operations,300,550.4,292,0.864,0.835,714
3,2007-10,Operations,310,433.1,413,0.807,0.875,549
3,2007-11,Operations,300,356.8,273,0.885,0.813,836
3,2007-12,Operations,310,529.4,399,0.762,0.966,959
3,2008-01,Operations,310,349.3,106,0.88,0.92,252
3,2008-02,Operations,290,571.8,371,0.863,0.909,676
3,2008-03,Operations,310,422.1,531,0.658,0.884,610
3,2008-04,Operations,300,433.8,344,0.905,0.846,710
3,2008-05,Operations,310,373.8,236,0.919,0.873,765
3,2008-06,Operations,300,593.2,609,0.866,0.891,768
3,2008-07,Operations,310,370.5,524,0.811,0.89,529
3,2008-08,Operations,310,372.6,448,0.845,0.933,648
3,2008-09,Operations,300,404.4,267,0.964,0.822,932
3,2008-10,Operations,310,427.3,208,0.964,0.95,891
3,2008-11,Operations,300,496.0,297,0.817,0.92,966
3,2008-12,Operations,310,362.4,199,0.879,0.946,813
3,2009-01,Operations,310,471.1,299,0.774,0.857,245
3,2009-02,Operations,280,413.8,296,0.804,0.752,308
3,2009-03,Operations,310,507.7,237,0.852,0.83,1007
3,2009-04,Operations,300,442.7,373,0.97,0.976,556
3,2009-05,Operations,310,442.7,290,0.861,0.895,552
3,2009-06,Operations,300,498.8,312,0.968,0.905,1058
3,2009-07,Operations,310,561.8,490,0.787,0.857,765
3,2009-08,Operations,310,541.0,347,0.753,0.832,297
3,2009-09,Operations,300,568.4,346,0.898,0.899,87
3,2009-10,Operations,310,371.3,315,0.956,0.827,554
3,2009-11,Operations,300,512.4,397,0.864,0.906,709
3,2009-12,Operations,310,394.8,215,0.883,0.831,732
3,2010-01,Operations,310,331.7,245,0.829,0.869,385
3,2010-02,Operations,280,405.5,153,0.849,0.842,747
3,2010-03,Operations,310,454.9,253,0.793,0.966,732
3,2010-04,Operations,300,381.8,404,0.704,0.898,1109
3,2010-05,Operations,310,383.2,351,0.863,0.945,155
3,2010-06,Operations,300,560.2,361,0.787,0.966,554
3,2010-07,Operations,310,555.3,144,0.665,0.888,604
3,2010-08,Operations,310,463.2,508,0.902,0.891,121
3,2010-09,Operations,300,332.6,413,0.849,0.949,350
3,2010-10,Operations,310,580.6,192,0.875,0.816,420
3,2010-11,Operations,300,481.9,290,0.88,0.912,604
3,2010-12,Operations,310,362.6,304,0.723,0.86,787
3,2011-01,Operations,310,568.6,98,0.787,0.871,560
3,2011-02,Operations,280,354.1,220,0.786,0.939,769
3,2011-03,Operations,310,382.9,280,0.838,0.859,366
3,2011-04,Operations,300,429.8,234,0.76,0.908,805
3,2011-05,Operations,310,568.9,344,0.817,0.917,647
3,2011-06,Operations,300,311.6,140,0.832,0.951,98
3,2011-07,Operations,310,432.5,525,0.821,0.928,476
3,2011-08,Operations,310,437.1,89,0.689,0.947,406
3,2011-09,Operations,300,594.9,122,0.745,0.891,454
3,2011-10,Operations,310,536.2,411,0.849,0.912,1042
3,2011-11,Operations,300,355.6,321,0.898,0.963,288
3,2011-12,Operations,310,558.8,551,0.86,0.91,597
3,2012-01,Operations,310,602.6,385,0.815,0.898,670
3,2012-02,Operations,290,300.2,396,1.0,0.811,684
3,2012-03,Operations,310,594.4,430,0.833,0.938,942
3,2012-04,Operations,300,560.2,499,0.689,0.98,720
3,2012-05,Operations,310,552.1,151,0.78,0.907,646
3,2012-06,Operations,300,458.2,492,0.724,0.949,631
3,2012-07,Operations,310,383.9,112,0.86,0.779,811
3,2012-08,Operations,310,553.9,349,0.823,0.958,606
3,2012-09,Operations,300,456.9,254,0.906,0.927,537
3,2012-10,Operations,310,594.5,98,0.853,0.812,837
3,2012-11,Operations,300,596.0,688,0.764,0.895,1061
3,2012-12,Operations,310,554.2,233,0.843,0.9,720
3,2013-01,Operations,310,548.8,327,0.734,0.907,762
3,2013-02,Operations,280,286.8,81,0.889,0.918,425
3,2013-03,Operations,310,327.1,108,0.768,0.873,955
3,2013-04,Operations,300,583.5,426,0.798,0.912,596
3,2013-05,Operations,310,376.9,258,0.736,0.831,519
3,2013-06,Operations,300,308.2,391,0.802,1.0,212
3,2013-07,Operations,310,474.8,166,0.8,0.907,74
3,2013-08,Operations,310,585.3,635,0.803,0.913,905
3,2013-09,Operations,300,591.7,242,0.693,0.932,602
3,2013-10,Operations,310,375.6,360,0.795,0.874,801
3,2013-11,Operations,300,322.2,487,0.746,0.867,1091
3,2013-12,Operations,310,505.6,356,0.774,0.874,669
3,2014-01,Operations,310,448.7,326,0.828,0.889,293
3,2014-02,Operations,280,353.0,436,0.748,0.891,404
3,2014-03,Operations,310,522.7,280,0.919,0.925,325
3,2014-04,Operations,300,365.0,213,0.795,0.916,511
3,2014-05,Operations,310,399.8,220,0.793,0.867,510
3,2014-06,Operations,300,340.5,424,0.933,1.0,382
3,2014-07,Operations,310,448.5,158,0.783,0.868,388
3,2014-08,Operations,310,540.3,318,0.757,0.942,423
3,2014-09,Operations,300,485.9,262,0.834,0.835,1039
3,2014-10,Operations,310,538.6,387,0.749,0.911,372
3,2014-11,Operations,300,448.1,451,0.836,0.778,393
3,2014-12,Operations,310,377.2,528,0.897,0.82,725
4,2005-01,Sales,310,537.4,198,0.799,0.914,669
4,2005-02,Sales,280,326.9,440,0.777,0.893,545
4,2005-03,Sales,310,545.5,549,0.831,0.885,642
4,2005-04,Sales,300,554.9,136,0.833,0.9,729
4,2005-05,Sales,310,391.5,134,0.662,0.914,742
4,2005-06,Sales,300,491.7,442,0.847,0.947,836
4,2005-07,Sales,310,568.2,100,0.854,0.961,903
4,2005-08,Sales,310,590.9,704,0.86,0.978,526
4,2005-09,Sales,300,468.2,696,0.804,0.844,819
4,2005-10,Sales,310,413.4,577,0.815,0.887,1110
4,2005-11,Sales,300,433.9,416,0.801,0.944,360
4,2005-12,Sales,310,408.1,115,0.802,0.844,648
4,2006-01,Sales,310,327.0,418,0.816,0.885,910
4,2006-02,Sales,280,449.8,368,0.788,0.952,760
4,2006-03,Sales,310,586.8,700,0.724,0.971,997
4,2006-04,Sales,300,345.0,573,0.785,0.934,631
4,2006-05,Sales,310,605.5,747,0.761,0.869,447
4,2006-06,Sales,300,367.3,156,0.851,0.99,1062
4,2006-07,Sales,310,446.1,715,0.9,0.877,769
4,2006-08,Sales,310,530.6,615,0.726,0.91,356
4,2006-09,Sales,300,312.8,755,0.745,0.843,202
4,2006-10,Sales,310,565.6,431,0.691,0.923,632
4,2006-11,Sales,300,577.5,423,0.875,0.93,688
4,2006-12,Sales,310,590.8,306,0.802,0.907,627
4,2007-01,Sales,310,500.3,388,0.836,0.928,20
4,2007-02,Sales,280,487.1,0,0.757,0.951,600
4,2007-03,Sales,310,468.0,320,0.872,0.804,1023
4,2007-04,Sales,300,352.4,289,0.759,0.849,927
4,2007-05,Sales,310,376.7,184,0.772,0.857,1064
4,2007-06,Sales,300,485.6,876,0.798,0.842,557
4,2007-07,Sales,310,356.7,281,0.807,0.839,203
4,2007-08,Sales,310,457.3,166,0.747,0.855,527
4,2007-09,Sales,300,456.0,551,0.817,0.811,563
4,2007-10,Sales,310,345.9,335,0.864,0.84,672
4,2007-11,Sales,300,506.3,574,0.755,0.886,663
4,2007-12,Sales,310,438.4,663,0.817,0.896,637
4,2008-01,Sales,310,425.9,506,0.779,0.905,1164
4,2008-02,Sales,290,422.4,678,0.667,0.911,1061
4,2008-03,Sales,310,494.0,595,0.761,0.902,681
4,2008-04,Sales,300,330.1,479,0.814,0.862,526
4,2008-05,Sales,310,546.8,642,0.838,0.912,983
4,2008-06,Sales,300,594.3,622,0.821,0.895,592
4,2008-07,Sales,310,414.2,459,0.753,0.922,806
4,2008-08,Sales,310,410.4,801,0.793,0.844,1038
4,2008-09,Sales,300,583.6,274,0.924,0.933,717
4,2008-10,Sales,310,598.3,592,0.798,0.867,888
4,2008-11,Sales,300,557.9,543,0.745,0.906,703
4,2008-12,Sales,310,474.5,238,0.84,0.77,794
4,2009-01,Sales,310,431.5,841,0.765,0.933,645
4,2009-02,Sales,280,353.8,648,0.768,0.95,449
4,2009-03,Sales,310,422.0,758,0.846,0.996,554
4,2009-04,Sales,300,402.8,331,0.846,0.925,744
4,2009-05,Sales,310,541.6,724,0.714,0.958,1452
4,2009-06,Sales,300,513.1,551,0.841,0.875,285
4,2009-07,Sales,310,470.9,320,0.699,0.986,811
4,2009-08,Sales,310,597.6,490,0.788,0.948,735
4,2009-09,Sales,300,382.2,498,0.776,0.83,245
4,2009-10,Sales,310,415.1,570,0.71,0.898,757
4,2009-11,Sales,300,527.0,347,0.829,0.919,443
4,2009-12,Sales,310,407.5,779,0.854,0.895,627
4,2010-01,Sales,310,444.6,659,0.814,0.931,776
4,2010-02,Sales,280,306.4,522,0.855,0.944,491
4,2010-03,Sales,310,320.6,892,0.818,0.814,566
4,2010-04,Sales,300,329.4,481,0.764,0.97,468
4,2010-05,Sales,310,392.2,603,0.827,0.925,969
4,2010-06,Sales,300,568.1,642,0.782,0.903,745
4,2010-07,Sales,310,389.8,725,0.839,0.902,543
4,2010-08,Sales,310,438.2,551,0.814,1.0,614
4,2010-09,Sales,300,590.3,764,0.807,1.0,629
4,2010-10,Sales,310,563.7,384,0.775,0.912,953
4,2010-11,Sales,300,469.2,804,0.793,0.883,1368
4,2010-12,Sales,310,330.9,401,0.751,0.853,976
4,2011-01,Sales,310,600.5,585,0.796,0.937,534
4,2011-02,Sales,280,481.1,547,0.842,0.917,490
4,2011-03,Sales,310,459.5,396,0.763,0.853,1066
4,2011-04,Sales,300,584.2,667,0.887,1.0,309
4,2011-05,Sales,310,368.9,424,0.74,0.846,669
4,2011-06,Sales,300,311.6,610,0.804,0.924,841
4,2011-07,Sales,310,604.5,476,0.948,0.912,282
4,2011-08,Sales,310,424.2,180,0.801,0.894,627
4,2011-09,Sales,300,376.4,655,0.851,0.853,480
4,2011-10,Sales,310,430.3,595,0.67,0.891,747
4,2011-11,Sales,300,476.3,369,0.762,0.891,741
4,2011-12,Sales,310,328.2,792,0.779,0.877,852
4,2012-01,Sales,310,338.8,463,0.855,0.949,1064
4,2012-02,Sales,290,499.8,346,0.801,0.901,673
4,2012-03,Sales,310,571.2,235,0.806,0.862,765
4,2012-04,Sales,300,558.1,309,0.816,0.908,859
4,2012-05,Sales,310,528.2,618,0.834,0.846,424
4,2012-06,Sales,300,359.9,346,0.727,0.898,698
4,2012-07,Sales,310,405.4,491,0.886,0.86,398
4,2012-08,Sales,310,311.5,664,0.757,0.821,559
4,2012-09,Sales,300,445.8,784,0.727,0.896,882
4,2012-10,Sales,310,495.4,782,0.717,0.917,805
4,2012-11,Sales,300,354.2,655,0.634,0.861,753
4,2012-12,Sales,310,463.8,661,0.855,0.93,690
4,2013-01,Sales,310,334.9,459,0.829,0.845,900
4,2013-02,Sales,280,440.6,528,0.586,0.836,1094
4,2013-03,Sales,310,353.0,127,0.886,0.901,1018
4,2013-04,Sales,300,470.3,636,0.825,0.935,1266
4,2013-05,Sales,310,399.3,215,0.831,0.957,1042
4,2013-06,Sales,300,326.7,784,0.865,1.0,539
4,2013-07,Sales,310,480.0,491,0.766,0.855,58
4,2013-08,Sales,310,616.6,638,0.765,0.997,747
4,2013-09,Sales,300,565.9,594,0.858,0.914,1048
4,2013-10,Sales,310,423.6,665,0.826,0.886,844
4,2013-11,Sales,300,375.3,483,0.829,0.963,993
4,2013-12,Sales,310,351.5,40,0.836,0.789,1108
4,2014-01,Sales,310,312.7,774,0.737,0.822,808
4,2014-02,Sales,280,489.5,407,0.806,1.0,858
4,2014-03,Sales,310,313.4,741,0.904,0.89,234
4,2014-04,Sales,300,337.2,710,0.732,0.891,553
4,2014-05,Sales,310,586.7,720,0.846,0.931,734
4,2014-06,Sales,300,398.9,291,0.647,0.908,797
